תג,מזהה אובייקט,מזהה commit,קבצים
v6.0.0.26032+2110,4f8185cff359cf044b4d98541e470cb8d75bb835,4f8185cff359cf044b4d98541e470cb8d75bb835,3853
v6.0.0.26032+2111,a8218187e6aa30fa0e84fecf25a82b9e47845776,a8218187e6aa30fa0e84fecf25a82b9e47845776,3853
v6.0.0.26032+2145,03bd87d017c4c1e6de6a744de09f5354d0008589,03bd87d017c4c1e6de6a744de09f5354d0008589,3853
v6.1.0.26047+2255,9c28ee9596117bcf787b908d7cb2bbc6f53513a6,9c28ee9596117bcf787b908d7cb2bbc6f53513a6,3864
v6.2.0.26090+1601,54c0f77cb6985cfb26a10ac7742dd138521b6a8b,54c0f77cb6985cfb26a10ac7742dd138521b6a8b,3907
v6.2.0.26090+1952,6f21e115a9ce8d092aceffc4a5f183833f34031b,6f21e115a9ce8d092aceffc4a5f183833f34031b,3907
v6.2.0.26090+1953,4d0fdbedbeb7d90ae189cad5ae0df4cd0df0f024,4d0fdbedbeb7d90ae189cad5ae0df4cd0df0f024,3907
v6.2.0.26090+2006,a6c64151db81a9527fd60f33cb065056331e5d41,a6c64151db81a9527fd60f33cb065056331e5d41,3910
v6.2.0.26091+2015,7824529fb7a3a0590c0000fe2670f576b75b16ec,7824529fb7a3a0590c0000fe2670f576b75b16ec,3915
v6.2.1.26091+2148,4950cf2023412fe0eb38f194e4ffc92a9f16ff38,4950cf2023412fe0eb38f194e4ffc92a9f16ff38,3912
v6.3.0.26091+2238,286f48330fdfccb8d88f3160fb1ae068c8a73c15,286f48330fdfccb8d88f3160fb1ae068c8a73c15,3913
v6.3.0.26092+2232,62f291ece56065b5576a3da7e7d2d784d30b5e9f,62f291ece56065b5576a3da7e7d2d784d30b5e9f,3915
v6.3.0.26092+2248,79db5bb8ffba2240a06202a961961cfd2d557f0d,79db5bb8ffba2240a06202a961961cfd2d557f0d,3915
v6.3.0.26095+0830,87fc928a708fd715b5ca9a05a6ac69a5642a732f,87fc928a708fd715b5ca9a05a6ac69a5642a732f,3916
v6.4.0.26100+0515,35e0dadabb8e320bfa4b045625a6c67c82260648,35e0dadabb8e320bfa4b045625a6c67c82260648,3922
v6.5.0.26173+1406,30862725a59d1c2deae94e96bc3ecd6048f07071,30862725a59d1c2deae94e96bc3ecd6048f07071,3766
v6.5.2.26175+2113,04a9b197d2e8d895852d8e693a4223b2dbe78075,04a9b197d2e8d895852d8e693a4223b2dbe78075,3773
v6.5.3.26176+2017,b74f72a1a3b5ef3ebfe86482010f40c6c57ca04b,b74f72a1a3b5ef3ebfe86482010f40c6c57ca04b,3773
v6.5.4.26228+1146,8a28848e12e5b4b7d3eaa29bf012b141c09eb190,8a28848e12e5b4b7d3eaa29bf012b141c09eb190,3815
v6.5.5.26237+2044,0849b45462ffbd1e74806a4024147c03055f126b,0849b45462ffbd1e74806a4024147c03055f126b,3815
