הפניה,נתיב,גרסה,כיסוי
refs/github-services/pull/1151/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1151/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1151/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1154/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1154/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1154/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1156/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1156/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1156/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1162/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1162/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1162/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1173/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1173/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1173/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1179/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1179/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1179/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1183/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1183/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1183/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1191/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1191/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1191/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1193/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1193/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1193/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1201/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1201/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1201/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1202/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1202/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1202/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1218/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1218/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1218/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1220/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1220/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1220/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1221/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1221/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1221/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1231/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1231/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1231/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1232/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1232/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
